Code,Name,Country,Exchange,Currency,Type,Isin
ABOS,Acumen Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00509G2093
ABSI,Absci Corp,USA,NASDAQ,USD,Common Stock,US00091E1091
ABTS,Abits Group Inc.,USA,NASDAQ,USD,Common Stock,
ABUS,Arbutus Biopharma Corp,USA,NASDAQ,USD,Common Stock,CA03879J1003
ABVC,ABVC Biopharma Inc,USA,NASDAQ,USD,Common Stock,US00091F1066
ABVE,Above Food Ingredients Inc. Common Stock,USA,NASDAQ,USD,Common Stock,
ABVEW,Above Food Ingredients Inc. Warrants,USA,NASDAQ,USD,Common Stock,
ABVX,Abivax SA American Depositary Shares,USA,NASDAQ,USD,Common Stock,
ACAB,Atlantic Coastal Acquisition Corp II,USA,NASDAQ,USD,Common Stock,US04845A1088
ACABU,Atlantic Coastal Acquisition Corp II Unit,USA,NASDAQ,USD,Unit,US04845A2078
ACAC,Acri Capital Acquisition Corporation,USA,NASDAQ,USD,Common Stock,
ACACU,Acri Capital Acquisition Corporation Unit,USA,NASDAQ,USD,Unit,KYG0103T1215
ACACW,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock,
ACAD,ACADIA Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0042251084
ACAHW,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,
ACB,Aurora Cannabis Inc,USA,NASDAQ,USD,Common Stock,CA05156X8843
ACCD,Accolade Inc,USA,NASDAQ,USD,Common Stock,US00437E1029
ACDC,ProFrac Holding Corp.,USA,NASDAQ,USD,Common Stock,
ACET,Adicet Bio Inc,USA,NASDAQ,USD,Common Stock,US0070021086
ACGL,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,BMG0450A1053
ACGLN,Arch Capital Group Ltd,USA,NASDAQ,USD,Preferred Stock,
ACGLO,Arch Capital Group Ltd.,USA,NASDAQ,USD,Preferred Stock,US03939A1079
ACHC,Acadia Healthcare Company Inc,USA,NASDAQ,USD,Common Stock,US00404A1097
ACHL,Achilles Therapeutics PLC ADR,USA,NASDAQ,USD,Common Stock,US00449L1026
ACHV,Achieve Life Sciences Inc,USA,NASDAQ,USD,Common Stock,US0044685008
ACIC,American Coastal Insurance Corp,USA,NASDAQ,USD,Common Stock,US9107101027
ACIU,AC Immune Ltd,USA,NASDAQ,USD,Common Stock,CH0329023102
ACIW,ACI Worldwide Inc,USA,NASDAQ,USD,Common Stock,US0044981019
ACLS,Axcelis Technologies Inc,USA,NASDAQ,USD,Common Stock,US0545402085
ACLX,Arcellx Inc,USA,NASDAQ,USD,Common Stock,US03940C1009
ACMR,Acm Research Inc,USA,NASDAQ,USD,Common Stock,US00108J1097
ACNB,ACNB Corporation,USA,NASDAQ,USD,Common Stock,US0008681092
ACNT,Synalloy Corporation,USA,NASDAQ,USD,Common Stock,
ACON,Aclarion Inc,USA,NASDAQ,USD,Common Stock,US6551871022
ACONW,Aclarion Inc,USA,NASDAQ,USD,Common Stock,
ACRS,Aclaris Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00461U1051
ACRV,"Acrivon Therapeutics, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US0048901096
ACST,Acasti Pharma Inc,USA,NASDAQ,USD,Common Stock,CA00430K8730
ACT,Enact Holdings Inc,USA,NASDAQ,USD,Common Stock,US29249E1091
ACTG,Acacia Research Corporation,USA,NASDAQ,USD,Common Stock,US0038813079
ACTU,"Actuate Therapeutics, Inc. Common stock",USA,NASDAQ,USD,Common Stock,
ACVA,ACV Auctions Inc,USA,NASDAQ,USD,Common Stock,US00091G1040
ACWI,iShares MSCI ACWI ETF,USA,NASDAQ,USD,ETF,US4642882579
ACWX,iShares MSCI ACWI ex U.S. ETF,USA,NASDAQ,USD,ETF,US4642882405
ACXP,Acurx Pharmaceuticals LLC,USA,NASDAQ,USD,Common Stock,US00510M1045
ADAG,Adagene Inc,USA,NASDAQ,USD,Common Stock,US0053291078
ADAP,Adaptimmune Therapeutics Plc,USA,NASDAQ,USD,Common Stock,US00653A1079
ADBE,Adobe Systems Incorporated,USA,NASDAQ,USD,Common Stock,US00724F1012
ADC-PA,Agree Realty Corporation,USA,NASDAQ,USD,Preferred Stock,
ADD,Color Star Technology Co. Ltd.,USA,NASDAQ,USD,Common Stock,
ADEA,ADEIA CORP,USA,NASDAQ,USD,Common Stock,US98390M1036
ADI,Analog Devices Inc,USA,NASDAQ,USD,Common Stock,US0326541051
ADIL,Adial Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00688A1060
ADMA,ADMA Biologics Inc,USA,NASDAQ,USD,Common Stock,US0008991046
ADN,Advent Technologies Holdings Inc,USA,NASDAQ,USD,Common Stock,US00788A2042
ADNWW,Advent Technologies Holdings Inc,USA,NASDAQ,USD,Common Stock,
ADP,Automatic Data Processing Inc,USA,NASDAQ,USD,Common Stock,US0530151036
ADPT,Adaptive Biotechnologies Corp,USA,NASDAQ,USD,Common Stock,US00650F1093
ADSE,Ads Tec Energy PLC,USA,NASDAQ,USD,Common Stock,IE000DU292E6
ADSEW,ADS-TEC ENERGY PLC Warrant,USA,NASDAQ,USD,Common Stock,
ADSK,Autodesk Inc,USA,NASDAQ,USD,Common Stock,US0527691069
ADTN,ADTRAN Inc,USA,NASDAQ,USD,Common Stock,US00738A1060
ADTX,Aditxt Inc. ,USA,NASDAQ,USD,Common Stock,US0070251097
ADUS,Addus HomeCare Corporation,USA,NASDAQ,USD,Common Stock,US0067391062
ADV,Advantage Solutions Inc,USA,NASDAQ,USD,Common Stock,US00791N1028
ADVM,Adverum Biotechnologies Inc,USA,NASDAQ,USD,Common Stock,US00773U1088
ADVWW,Advantage Solutions Inc,USA,NASDAQ,USD,Common Stock,
ADXN,Addex Therapeutics Ltd,USA,NASDAQ,USD,Common Stock,US00654J1079
AEAE,Altenergy Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02157M1080
AEAEU,Altenergy Acquisition Corp Unit,USA,NASDAQ,USD,Unit,US02157M2070
AEAEW,AltEnergy Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
AEHL,Antelope Enterprise Holdings Ltd,USA,NASDAQ,USD,Common Stock,VGG041JN1065
AEHR,Aehr Test Systems,USA,NASDAQ,USD,Common Stock,US00760J1088
AEI,Alset Ehome International Inc,USA,NASDAQ,USD,Common Stock,US02116A1043
AEIS,Advanced Energy Industries Inc,USA,NASDAQ,USD,Common Stock,US0079731008
AEMD,Aethlon Medical Inc,USA,NASDAQ,USD,Common Stock,US00808Y3071
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,USA,NASDAQ,USD,Common Stock,
AENTW,Alliance Entertainment Holding Corporation Warrants,USA,NASDAQ,USD,Common Stock,
AEP,American Electric Power Co Inc,USA,NASDAQ,USD,Common Stock,US0255371017
AERT,Aeries Technology Inc.,USA,NASDAQ,USD,Common Stock,
AERTW,Aeries Technology Inc.,USA,NASDAQ,USD,Common Stock,
AEYE,AudioEye Inc,USA,NASDAQ,USD,Common Stock,US0507342014
AEZS,Aeterna Zentaris Inc,USA,NASDAQ,USD,Common Stock,CA0079754028
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,KYG063621000
AFARU,Aura FAT Projects Acquisition Corp Unit,USA,NASDAQ,USD,Unit,KYG063621182
AFBI,Affinity Bancshares Inc,USA,NASDAQ,USD,Common Stock,US00832E1038
AFCG,AFC Gamma Inc,USA,NASDAQ,USD,Common Stock,US00109K1051
AFIB,Acutus Medical Inc,USA,NASDAQ,USD,Common Stock,US0051111096
AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",USA,NASDAQ,USD,Common Stock,
AFJKR,"Aimei Health Technology Co., Ltd Right",USA,NASDAQ,USD,Common Stock,
AFJKU,"Aimei Health Technology Co., Ltd Unit",USA,NASDAQ,USD,Common Stock,
AFMD,Affimed NV,USA,NASDAQ,USD,Common Stock,NL0010872420
AFRI,Forafric Global PLC Ordinary Shares,USA,NASDAQ,USD,Common Stock,GI000A3DNK69
AFRIW,Forafric Global PLC Warrants,USA,NASDAQ,USD,Common Stock,
AFRM,Affirm Holdings Inc,USA,NASDAQ,USD,Common Stock,US00827B1061
AFYA,Afya Ltd,USA,NASDAQ,USD,Common Stock,KYG011251066
AGAE,Allied Gaming & Entertainment Inc.,USA,NASDAQ,USD,Common Stock,US0191701095
AGBA,AGBA Acquisition Ltd,USA,NASDAQ,USD,Common Stock,VGG0120M1095
AGBAW,AGBA Acquisition Limited,USA,NASDAQ,USD,Common Stock,
AGEN,Agenus Inc,USA,NASDAQ,USD,Common Stock,US00847G7051
AGFY,Agrify Corp,USA,NASDAQ,USD,Common Stock,US00853E1073
AGIO,Agios Pharm,USA,NASDAQ,USD,Common Stock,US00847X1046
AGMH,AGM Group Holdings Inc Class A,USA,NASDAQ,USD,Common Stock,VGG0132V1058
AGMI,Themes Silver Miners ETF,USA,NASDAQ,USD,ETF,
AGNC,AGNC Investment Corp,USA,NASDAQ,USD,Common Stock,US00123Q1040
AGNCL,AGNC Investment Corp,USA,NASDAQ,USD,Common Stock,
AGNCM,AGNC Investment Corp,USA,NASDAQ,USD,Preferred Stock,
AGNCN,AGNC Investment Corp.,USA,NASDAQ,USD,Preferred Stock,US00123Q5009
AGNCO,AGNC Investment Corp,USA,NASDAQ,USD,Preferred Stock,
AGNCP,AGNC Investment Corp.,USA,NASDAQ,USD,Preferred Stock,US00123Q1040
AGNG,Global X Aging Population ETF,USA,NASDAQ,USD,ETF,US37954Y7720
AGRI,AgriFORCE Growing Systems Ltd,USA,NASDAQ,USD,Common Stock,CAC009481069
AGRX,Agile Thrpe,USA,NASDAQ,USD,Common Stock,US00847L1008
AGYS,Agilysys Inc,USA,NASDAQ,USD,Common Stock,US00847J1051
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,USA,NASDAQ,USD,ETF,US97717W3806
AHCO,Adapthealth Corp,USA,NASDAQ,USD,Common Stock,US00653Q1022
AHG,Akso Health Group ADR,USA,NASDAQ,USD,Common Stock,US98422P1084
AIA,iShares Asia 50 ETF,USA,NASDAQ,USD,ETF,US4642884302
AIFF,"Firefly Neuroscience, Inc.",USA,NASDAQ,USD,Common Stock,
AIHS,Senmiao Technology Ltd,USA,NASDAQ,USD,Common Stock,US8172252046
AILE,"iLearningEngines, Inc.",USA,NASDAQ,USD,Common Stock,
AILEW,"iLearningEngines, Inc.",USA,NASDAQ,USD,Common Stock,
AIMAU,Aimfinity Investment I Corp Unit,USA,NASDAQ,USD,Unit,KYG0135E1008
AIMAW,Aimfinity Investment Corp. I Warrant,USA,NASDAQ,USD,Common Stock,
AIMBU,Aimfinity Investment Corp. I Subunit,USA,NASDAQ,USD,Unit,
AIMD,Ainos Inc,USA,NASDAQ,USD,Common Stock,US00902F1057
AIMDW,Ainos Inc.,USA,NASDAQ,USD,Common Stock,
AIOT,"PowerFleet, Inc.",USA,NASDAQ,USD,Common Stock,
AIP,Arteris Inc,USA,NASDAQ,USD,Common Stock,US04302A1043
AIPI,REX AI Equity Premium Income ETF,USA,NASDAQ,USD,ETF,
AIQ,Global X Artificial Intelligence & Technology ETF,USA,NASDAQ,USD,ETF,US37954Y6326
AIRE,reAlpha Tech Corp. Common Stock,USA,NASDAQ,USD,Common Stock,
AIRG,Airgain Inc,USA,NASDAQ,USD,Common Stock,US00938A1043
AIRJ,Montana Technologies Corporation,USA,NASDAQ,USD,Common Stock,
AIRJW,Montana Technologies Corporation,USA,NASDAQ,USD,Common Stock,
AIRL,Themes Airlines ETF,USA,NASDAQ,USD,ETF,
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,USA,NASDAQ,USD,ETF,US33738R7044
AIRS,Airsculpt Technologies Inc,USA,NASDAQ,USD,Common Stock,US0094961002
AIRT,Air T Inc,USA,NASDAQ,USD,Common Stock,US0092071010
AIRTP,Air T Inc PR,USA,NASDAQ,USD,Preferred Stock,US00919P3029
AISP,Airship AI Holdings Inc,USA,NASDAQ,USD,Common Stock,
AISPW,Airship AI Holdings Inc,USA,NASDAQ,USD,Common Stock,
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,USA,NASDAQ,USD,Common Stock,
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,USA,NASDAQ,USD,Common Stock,
AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,USA,NASDAQ,USD,Common Stock,
AIXI,XIAO-I Corporation American Depositary Shares,USA,NASDAQ,USD,Common Stock,
AKAM,Akamai Technologies Inc,USA,NASDAQ,USD,Common Stock,US00971T1016
AKAN,Akanda Corp,USA,NASDAQ,USD,Common Stock,CA00971M1068
AKBA,Akebia Ther,USA,NASDAQ,USD,Common Stock,US00972D1054
AKRO,Akero Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00973Y1082
AKTS,Akoustis Technologies Inc,USA,NASDAQ,USD,Common Stock,US00973N1028
AKTX,Akari Therapeutics PLC,USA,NASDAQ,USD,Common Stock,US00972G1085
AKYA,Akoya Biosciences Inc,USA,NASDAQ,USD,Common Stock,US00974H1041
ALAB,"Astera Labs, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,
ALAR,Alarum Technologies Ltd.,USA,NASDAQ,USD,Common Stock,
ALBT,Avalon GloboCare Corp.,USA,NASDAQ,USD,Common Stock,
ALCE,Alternus Energy Group Plc,USA,NASDAQ,USD,Common Stock,
ALCO,Alico Inc,USA,NASDAQ,USD,Common Stock,US0162301040
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,
ALCYU,Alchemy Investments Acquisition Corp 1 Units,USA,NASDAQ,USD,Common Stock,
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,USA,NASDAQ,USD,Common Stock,
ALDX,Aldeyra The,USA,NASDAQ,USD,Common Stock,US01438T1060
ALEC,Alector Inc,USA,NASDAQ,USD,Common Stock,US0144421072
ALFUU,Centurion Acquisition Corp. Unit,USA,NASDAQ,USD,Common Stock,
ALFUW,Centurion Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
ALGM,Allegro Microsystems Inc,USA,NASDAQ,USD,Common Stock,US01749D1054
ALGN,Align Technology Inc,USA,NASDAQ,USD,Common Stock,US0162551016
ALGS,Aligos Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US01626L1052
ALGT,Allegiant Travel Company,USA,NASDAQ,USD,Common Stock,US01748X1028
ALHC,Alignment Healthcare LLC,USA,NASDAQ,USD,Common Stock,US01625V1044
ALIM,Alimera Sciences Inc,USA,NASDAQ,USD,Common Stock,US0162592028
ALKS,Alkermes Plc,USA,NASDAQ,USD,Common Stock,IE00B56GVS15
ALKT,Alkami Technology Inc,USA,NASDAQ,USD,Common Stock,US01644J1088
ALLK,Allakos Inc,USA,NASDAQ,USD,Common Stock,US01671P1003
ALLO,Allogene Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US0197701065
ALLR,Allarity Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US0167441049
ALLT,Allot Communications Ltd,USA,NASDAQ,USD,Common Stock,IL0010996549
ALMS,Alumis Inc. Common Stock,USA,NASDAQ,USD,Common Stock,
ALNT,Allient Inc.,USA,NASDAQ,USD,Common Stock,
ALNY,Alnylam Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US02043Q1076
ALOT,AstroNova Inc,USA,NASDAQ,USD,Common Stock,US04638F1084
ALPP,Alpine 4 Holdings Inc,USA,NASDAQ,USD,Common Stock,US02083E1055
ALRM,Alarm.com Holdings Inc,USA,NASDAQ,USD,Common Stock,US0116421050
ALRN,Aileron Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00887A1051
ALRS,Alerus Financial Corp,USA,NASDAQ,USD,Common Stock,US01446U1034
ALSA,Alpha Star Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG0230C1087
ALSAR,Alpha Star Acquisition Corporation Rights,USA,NASDAQ,USD,Common Stock,
ALSAU,Alpha Star Acquisition Corp Unit,USA,NASDAQ,USD,Unit,KYG0230C1244
ALSAW,Alpha Star Acquisition Corporation Warrants,USA,NASDAQ,USD,Common Stock,
ALT,Altimmune Inc,USA,NASDAQ,USD,Common Stock,US02155H2004
ALTI,Alvarium Tiedemann Holdings Inc.,USA,NASDAQ,USD,Common Stock,
ALTO,Alto Ingredients Inc,USA,NASDAQ,USD,Common Stock,US0215131063
ALTR,Altair Engineering Inc,USA,NASDAQ,USD,Common Stock,US0213691035
ALTS,ProShares Morningstar Alternatives Solution ETF,USA,NASDAQ,USD,ETF,US74347B8138
ALTY,Global X Alternative Income ETF,USA,NASDAQ,USD,ETF,US37954Y8066
ALVO,Alvotech,USA,NASDAQ,USD,Common Stock,LU2458332611
ALVOW,Alvotech Warrant,USA,NASDAQ,USD,Common Stock,
ALVR,Allovir Inc,USA,NASDAQ,USD,Common Stock,US0198181036
ALXO,Alx Oncology Holdings ,USA,NASDAQ,USD,Common Stock,US00166B1052
ALYAF,Alithya Group Inc,USA,NASDAQ,USD,Common Stock,
ALZN,Alzamend Neuro Inc,USA,NASDAQ,USD,Common Stock,US02262M3088
AMAL,Amalgamated Bank,USA,NASDAQ,USD,Common Stock,US0226711010
AMAT,Applied Materials Inc,USA,NASDAQ,USD,Common Stock,US0382221051
AMBA,Ambarella Inc,USA,NASDAQ,USD,Common Stock,KYG037AX1015
AMCX,AMC Networks Inc,USA,NASDAQ,USD,Common Stock,US00164V1035
AMD,Advanced Micro Devices Inc,USA,NASDAQ,USD,Common Stock,US0079031078
AMDL,GraniteShares 2x Long AMD Daily ETF,USA,NASDAQ,USD,ETF,
AMDS,GraniteShares 1x Short AMD Daily ETF,USA,NASDAQ,USD,ETF,
AMED,Amedisys Inc,USA,NASDAQ,USD,Common Stock,US0234361089
AMGN,Amgen Inc,USA,NASDAQ,USD,Common Stock,US0311621009
AMID,Argent Mid Cap ETF,USA,NASDAQ,USD,ETF,US02072L8393
AMIX,"Autonomix Medical, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,
AMKR,Amkor Technology Inc,USA,NASDAQ,USD,Common Stock,US0316521006
AMLI,American Lithium Corp. Common Stock,USA,NASDAQ,USD,Common Stock,
AMLX,Amylyx Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0321085088
AMPG,Amplitech Group Inc,USA,NASDAQ,USD,Common Stock,US03211Q2003
AMPGW,AmpliTech Group Inc,USA,NASDAQ,USD,Common Stock,
AMPH,Amphastar P,USA,NASDAQ,USD,Common Stock,US03209R1032
AMPL,Amplitude Inc,USA,NASDAQ,USD,Common Stock,US03213A1043
AMRK,Amark Preci,USA,NASDAQ,USD,Common Stock,US00181T1079
AMRN,Amarin Corporation PLC,USA,NASDAQ,USD,Common Stock,US0231112063
AMSC,American Superconductor Corporation,USA,NASDAQ,USD,Common Stock,US0301112076
AMSF,AMERISAFE Inc,USA,NASDAQ,USD,Common Stock,US03071H1005
AMST,Amesite Operating Co,USA,NASDAQ,USD,Common Stock,US0310941051
AMSWA,American Software Inc,USA,NASDAQ,USD,Common Stock,US0296831094
AMTX,Aemetis Inc,USA,NASDAQ,USD,Common Stock,US00770K2024
AMWD,American Woodmark Corporation,USA,NASDAQ,USD,Common Stock,US0305061097
AMZD,Direxion Daily AMZN Bear 1X Shares,USA,NASDAQ,USD,ETF,US25461A5020
AMZN,Amazon.com Inc,USA,NASDAQ,USD,Common Stock,US0231351067
AMZU,Direxion Daily AMZN Bull 1.5X Shares,USA,NASDAQ,USD,ETF,US25461A8586
AMZZ,GraniteShares 2x Long AMZN Daily ETF,USA,NASDAQ,USD,ETF,
ANAB,AnaptysBio Inc,USA,NASDAQ,USD,Common Stock,US0327241065
ANDE,The Andersons Inc,USA,NASDAQ,USD,Common Stock,US0341641035
ANEB,Anebulo Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0345691036
ANGH,Anghami De Inc,USA,NASDAQ,USD,Common Stock,KYG0369L1014
ANGHW,Anghami Inc. Warrants,USA,NASDAQ,USD,Common Stock,
ANGI,ANGI Homeservices Inc,USA,NASDAQ,USD,Common Stock,US00183L1026
ANGL,VanEck Fallen Angel High Yield Bond ETF,USA,NASDAQ,USD,ETF,US92189F4375
ANGO,AngioDynamics Inc,USA,NASDAQ,USD,Common Stock,US03475V1017
ANIK,Anika Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US0352551081
ANIP,ANI Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00182C1036
ANIX,Anixa Biosciences Inc,USA,NASDAQ,USD,Common Stock,US03528H1095
ANL,Adlai Nortye Ltd. American Depositary Shares,USA,NASDAQ,USD,Common Stock,
ANNX,Annexon Inc,USA,NASDAQ,USD,Common Stock,US03589W1027
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,
ANSCU,Agriculture & Natural Solutions Acquisition Corporation Unit,USA,NASDAQ,USD,Common Stock,
ANSCW,Agriculture & Natural Solutions Acquisition Corporation Warrant,USA,NASDAQ,USD,Common Stock,
ANSS,ANSYS Inc,USA,NASDAQ,USD,Common Stock,US03662Q1058
ANTE,Airnet Technology Inc,USA,NASDAQ,USD,Common Stock,US00941Q1040
ANTX,AN2 Therapeutics Inc,USA,NASDAQ,USD,Common Stock,
ANY,Sphere 3D Corp,USA,NASDAQ,USD,Common Stock,CA84841L3083
AOGFX,AOG Institutional Fund Class I,USA,NASDAQ,USD,FUND,
AOGO,Arogo Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US0426441046
AOGOU,Arogo Capital Acquisition Corp Unit,USA,NASDAQ,USD,Unit,US0426442036
AOGOW,Arogo Capital Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
AONC,American Oncology Network Inc.,USA,NASDAQ,USD,Common Stock,
AONCW,American Oncology Network Inc,USA,NASDAQ,USD,Common Stock,
AOSL,Alpha and Omega Semiconductor Ltd,USA,NASDAQ,USD,Common Stock,BMG6331P1041
AOTG,AOT Growth and Innovation ETF,USA,NASDAQ,USD,ETF,US02072L7304
AOUT,American Outdoor Brands Inc,USA,NASDAQ,USD,Common Stock,US02875D1090
APA,APA Corporation,USA,NASDAQ,USD,Common Stock,US03743Q1085
APCX,Apptech Corp,USA,NASDAQ,USD,Common Stock,US03834B3096
APCXW,AppTech Payments Corp. Warrant,USA,NASDAQ,USD,Common Stock,
APDN,Applied DNA Sciences Inc,USA,NASDAQ,USD,Common Stock,US03815U3005
APEI,American Public Education Inc,USA,NASDAQ,USD,Common Stock,US02913V1035
APGE,"Apogee Therapeutics, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,
API,Agora Inc,USA,NASDAQ,USD,Common Stock,US00851L1035
APLD,Applied Blockchain Inc,USA,NASDAQ,USD,Common Stock,US0381692070
APLM,Apollomics Inc. Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,
APLMW,Apollomics Inc. Warrant,USA,NASDAQ,USD,Common Stock,
APLS,Apellis Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US03753U1060
APLT,Applied Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US03828A1016
APM,Aptorum Group Ltd Class A,USA,NASDAQ,USD,Common Stock,KYG6096M1069
APOG,Apogee Enterprises Inc,USA,NASDAQ,USD,Common Stock,US0375981091
APP,Applovin Corp,USA,NASDAQ,USD,Common Stock,US03831W1080
APPF,Appfolio Inc,USA,NASDAQ,USD,Common Stock,US03783C1009
APPN,Appian Corp,USA,NASDAQ,USD,Common Stock,US03782L1017
APPS,Digital Turbine Inc,USA,NASDAQ,USD,Common Stock,US25400W1027
APRE,Aprea Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US03836J1025
APTO,Aptose Biosciences Inc,USA,NASDAQ,USD,Common Stock,CA03835T2002
APVO,Aptevo Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US03835L2079
APWC,Asia Pacific Wire & Cable Corp Ltd,USA,NASDAQ,USD,Common Stock,BMG0535E1066
APXI,APx Acquisition I Corp,USA,NASDAQ,USD,Common Stock,KYG0440J1094
APXIU,APx Acquisition Corp I Unit,USA,NASDAQ,USD,Unit,KYG0440J1177
APXIW,APx Acquisition Corp. I Warrant,USA,NASDAQ,USD,Common Stock,
APYX,Apyx Medical Inc,USA,NASDAQ,USD,Common Stock,US03837C1062
AQB,AquaBounty Technologies Inc,USA,NASDAQ,USD,Common Stock,US03842K2006
AQMS,Aqua Metals Inc,USA,NASDAQ,USD,Common Stock,US03837J1016
AQST,Aquestive Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US03843E1047
AQU,Aquaron Acquisition Corp. Common Stock,USA,NASDAQ,USD,Common Stock,
AQUNR,Aquaron Acquisition Corp. Rights,USA,NASDAQ,USD,Common Stock,
AQWA,Global X Clean Water ETF,USA,NASDAQ,USD,ETF,US37954Y1863
ARAY,Accuray Incorporated,USA,NASDAQ,USD,Common Stock,US0043971052
